image,label,phase
normal_085_normal,0,1
tumor_064_tumor,1,0
normal_045_normal,0,1
tumor_088_tumor,1,0
test_045_normal,0,0
normal_131_normal,0,1
test_066_tumor,1,0
test_106_normal,0,0
tumor_033_tumor,1,0
test_041_normal,0,0
test_004_tumor,1,0
test_032_normal,0,0
normal_077_normal,0,1
test_035_normal,0,0
test_109_normal,0,0
tumor_019_tumor,1,0
normal_107_normal,0,1
tumor_057_tumor,1,0
normal_073_normal,0,1
tumor_002_tumor,1,0
tumor_005_tumor,1,0
test_048_tumor,1,0
normal_024_normal,0,1
test_070_normal,0,0
tumor_107_tumor,1,0
test_001_tumor,1,0
normal_145_normal,0,1
normal_047_normal,0,1
test_094_tumor,1,0
test_112_normal,0,0
normal_155_normal,0,1
test_007_normal,0,0
tumor_093_tumor,1,0
normal_143_normal,0,1
test_015_normal,0,0
normal_097_normal,0,1
normal_088_normal,0,1
test_122_tumor,1,0
test_085_normal,0,0
normal_055_normal,0,1
test_113_tumor,1,0
normal_071_normal,0,1
normal_054_normal,0,1
normal_005_normal,0,1
test_082_tumor,1,0
normal_158_normal,0,1
tumor_063_tumor,1,0
test_021_tumor,1,0
normal_150_normal,0,1
tumor_038_tumor,1,0
test_063_normal,0,0
normal_004_normal,0,1
test_057_normal,0,0
normal_159_normal,0,1
normal_117_normal,0,1
normal_011_normal,0,1
test_040_tumor,1,0
normal_040_normal,0,1
test_030_tumor,1,0
test_129_normal,0,0
test_013_tumor,1,0
tumor_022_tumor,1,0
tumor_065_tumor,1,0
test_080_normal,0,0
tumor_024_tumor,1,0
normal_099_normal,0,1
test_120_normal,0,0
normal_080_normal,0,1
tumor_074_tumor,1,0
tumor_016_tumor,1,0
normal_009_normal,0,1
test_084_tumor,1,0
normal_157_normal,0,1
normal_058_normal,0,1
tumor_007_tumor,1,0
normal_018_normal,0,1
normal_041_normal,0,1
test_014_normal,0,0
tumor_012_tumor,1,0
test_064_tumor,1,0
normal_079_normal,0,1
normal_025_normal,0,1
tumor_054_tumor,1,0
normal_026_normal,0,1
test_034_normal,0,0
test_011_tumor,1,0
normal_043_normal,0,1
normal_087_normal,0,1
tumor_031_tumor,1,0
normal_001_normal,0,1
tumor_100_tumor,1,0
tumor_081_tumor,1,0
test_006_normal,0,0
test_008_tumor,1,0
normal_138_normal,0,1
normal_072_normal,0,1
test_110_tumor,1,0
test_073_tumor,1,0
normal_017_normal,0,1
tumor_030_tumor,1,0
normal_129_normal,0,1
test_052_tumor,1,0
test_124_normal,0,0
test_098_normal,0,0
tumor_070_tumor,1,0
normal_038_normal,0,1
normal_030_normal,0,1
normal_098_normal,0,1
normal_066_normal,0,1
test_044_normal,0,0
test_103_normal,0,0
tumor_098_tumor,1,0
test_115_normal,0,0
tumor_034_tumor,1,0
tumor_055_tumor,1,0
normal_010_normal,0,1
tumor_015_tumor,1,0
normal_016_normal,0,1
tumor_061_tumor,1,0
test_012_normal,0,0
test_081_normal,0,0
tumor_077_tumor,1,0
test_018_normal,0,0
test_046_tumor,1,0
tumor_059_tumor,1,0
test_033_tumor,1,0
test_119_normal,0,0
tumor_104_tumor,1,0
normal_006_normal,0,1
normal_082_normal,0,1
normal_113_normal,0,1
normal_110_normal,0,1
tumor_036_tumor,1,0
normal_069_normal,0,1
normal_021_normal,0,1
tumor_105_tumor,1,0
normal_104_normal,0,1
tumor_111_tumor,1,0
normal_102_normal,0,1
normal_096_normal,0,1
normal_090_normal,0,1
